qin,bin,mean,std,count
1,1.0035714285714286,,,0
1,1.0107142857142857,,,0
1,1.0178571428571428,,,0
1,1.025,,,0
1,1.032142857142857,,,0
1,1.0392857142857144,,,0
1,1.0464285714285715,1.4318934166296613,0.04428481483655713,985
1,1.0535714285714286,,,0
1,1.0607142857142857,,,0
1,1.0678571428571428,,,0
1,1.075,,,0
1,1.082142857142857,,,0
1,1.0892857142857142,,,0
1,1.0964285714285715,1.4224118236995986,0.04844553179534758,918
1,1.1035714285714286,,,0
1,1.1107142857142858,,,0
1,1.1178571428571429,,,0
1,1.125,,,0
1,1.1321428571428571,,,0
1,1.1392857142857142,,,0
1,1.1464285714285714,1.4165233220753932,0.043571002278829846,310
1,1.1535714285714285,,,0
1,1.1607142857142856,,,0
1,1.1678571428571427,,,0
1,1.1749999999999998,,,0
1,1.1821428571428572,,,0
1,1.1892857142857143,,,0
1,1.1964285714285714,1.415892265038555,0.05884351504838555,47
2,2.0106060606060607,,,0
2,2.0318181818181817,,,0
2,2.0530303030303028,1.3729659387299853,0.05381142151687931,7
2,2.074242424242424,,,0
2,2.0954545454545457,1.3408558539840592,0.04571614859699385,79
2,2.1166666666666667,,,0
2,2.1378787878787877,,,0
2,2.159090909090909,1.3532170663310845,0.04648883323574902,130
2,2.1803030303030306,,,0
2,2.201515151515151,1.3397783334530229,0.04382175901820641,295
2,2.2227272727272727,,,0
2,2.243939393939394,1.3222631616193445,0.047105853236447996,471
2,2.2651515151515156,,,0
2,2.286363636363636,,,0
2,2.3075757575757576,1.3025569742507686,0.04268260719821564,488
2,2.328787878787879,,,0
2,2.35,1.291670513374383,0.04520278837131711,477
2,2.371212121212121,,,0
2,2.3924242424242426,1.2848833753189777,0.04316088463645622,342
2,2.413636363636364,,,0
2,2.4348484848484846,,,0
2,2.456060606060606,1.2743160424423654,0.03846810515601662,215
2,2.4772727272727275,,,0
2,2.4984848484848485,1.2694883129681152,0.03079452388736345,103
2,2.5196969696969695,,,0
2,2.540909090909091,1.2558977843917858,0.04376022713157362,40
2,2.5621212121212125,,,0
2,2.5833333333333335,,,0
2,2.6045454545454545,1.2552116331241385,0.03460141006592322,10
2,2.625757575757576,,,0
2,2.6469696969696974,1.2253919337852939,0.019300248440941758,6
2,2.668181818181818,,,0
2,2.6893939393939394,1.221941059839874,,1
3,3.0276785714285714,,,0
3,3.0830357142857143,1.1974738060126593,0.036876394360276635,27
3,3.138392857142857,,,0
3,3.19375,1.1858457437610823,0.027399437603372694,31
3,3.249107142857143,1.1812704106355203,0.0034177433264723474,2
3,3.304464285714286,1.1774475047851294,0.027115208735253537,34
3,3.3598214285714287,1.1788902873082063,0.03103997015889179,3
3,3.415178571428571,1.161730328488067,0.03512098212855017,30
3,3.470535714285714,1.1449515574423776,0.027112906712606157,12
3,3.525892857142857,1.1412194935397275,0.03770441233548471,73
3,3.58125,1.1303858661152133,0.037273611006528984,63
3,3.6366071428571427,1.1270531445748462,0.03462161245688238,98
3,3.6919642857142856,1.114396593533176,0.033657144851840265,117
3,3.7473214285714285,1.1118925285901191,0.03030184206962909,134
3,3.8026785714285714,1.1117695942605776,0.03356945580838224,135
3,3.8580357142857142,1.101991403723399,0.03047311867559454,108
3,3.913392857142857,1.1137533261615666,0.03524939610465286,125
3,3.96875,1.108090742803049,0.030528492892152974,128
3,4.024107142857142,1.0965654880859328,0.03247649410027165,372
3,4.079464285714286,1.0828213740470418,0.03291464280880334,223
3,4.134821428571428,1.0737171685858249,0.032436288044994356,227
3,4.1901785714285715,1.070412703955422,0.028790007371804326,170
3,4.2455357142857135,1.0674198850080454,0.0334386968902936,184
3,4.300892857142857,1.0680391315694653,0.02995866655726408,132
3,4.356249999999999,1.0644575673499768,0.034579409806855005,100
3,4.411607142857143,1.065657414935318,0.0345485087527775,64
3,4.466964285714285,1.045893089768525,0.03348364675401761,50
3,4.522321428571429,1.041371633183504,0.026593770066198147,31
4,4.0630434782608695,1.1120509882106597,0.019988302784386316,18
4,4.189130434782609,1.095610109076659,0.023519490459704633,27
4,4.315217391304348,1.0818440292869143,0.02717667180090647,18
4,4.441304347826087,1.07203701837592,0.028073764879188615,47
