qin,mean,sem
1,1.427482114413963,0.0032919494646234137
2,1.3055161246328917,0.004755101100107491
3,1.0975026999656345,0.003195229828565655
4,0.973465272886291,0.003111438582637643
5,0.8874691665296308,0.0033812207046375275
6,0.8443108822119147,0.002533829686899019
7,0.816822086810436,0.0020864083638422737
8,0.8003254308588522,0.0015081967644784613
9,0.7935387460162057,0.0008862989038577875
10,0.7876220788555672,0.0017063974288106373
